CONSOLIDATED STATEMENT OF CASH FLOWS FOR THE YEAR ENDED,Column,Column,Column
31ST DECEMBER 2019,,,
,,2019,2018
,Shs '000',,Shs
,,Shs '000','000'
,"316,148",,
,,"316,148","71,198"
,,"(254,635)","(11,645)"
,,"(1,473)","(1,497)"
,"(60,040)",,
,,"(60,040)","58,056"
,,"(5,285)","(2,950)"
,,"(6,652)","(1,324)"
,,(238),"(3,837)"
,-,,
,,-,540
,,"(12,175)","(7,571)"
,,"(40,379)","(53,008)"
,,"(5,836)","(7,780)"
,,"(46,215)","(60,788)"
,,"1,650","(10,302)"
,,"9,338","19,640"
,,"1,650","(10,302)"
,,"10,988","9,338"
