No.,Director,No. of shares held,"Independent /
Non- Independent"
1.,Peter Nduati,None,Independent
2.,Peter Mungai,None,Independent
3.,Luke Kinoti,None,Non Independent
4.,Dan Ochieng Awendo,"370,000",Non Independent
5.,Mbugua Gecaga,None,Independent
6.,Kendi Ogamba,None,Independent
7.,Frida Owinga,None,Independent
8.,Bertha Mvati,None,Independent
