Column,Director,No. of shares held,Column
1.,Peter Mungai,None,Independent
,Luke Kinoti,Through Proxy,
3.,Antony Mbandi,None,Independent
,Mbugua Gecaga,Through proxy,
5.,Frida Owinga,None,Independent
,Bertha Mvati,None,
7.,Jayne Nyokabi,Management Staff,Non-Independent
