Company,Column
2016,2015
Shs,Shs
"2,327,124","3,180,376"
"925,000","210,000"
"1,930,177","253,660"
"5,182,301","3,644,036"
"36,146,387","41,956,789"
"2,872,263","1,509,674"
"461,900","287,600"
"39,480,550","43,754,063"
"1,650,000","19,560,000"
-,-
"2,459,270","902,936"
"54,996,342","16,823,684"
"343,030","451,872"
"874,503","737,891"
"1,637,036","1,742,978"
"600,000","600,000"
-,"344,580"
"38,950","348,954"
"323,478",-
"130,100","433,565"
"14,800","1,520,333"
"158,786","112,320"
"474,580","242,760"
"63,700,875","43,821,873"
"103,181,425","87,575,936"
