Property Details,Owned by,Encumbrances
"L.R. Number 2/704 – Morningside Office
Park Limited (Main Title)","Morningside Properties
Limited (leasehold for
a term of 99 years from
1/07/2005)","There is documentation (executed offer letter)
indicating that this title was to be charged to
I&M Bank for KShs. 45,000,000 but the charge
has not yet been created over the property."
"Unit Number 2, 5th Floor Morning Side
Office Park on L.R. No. 2/704 together with
8 parking bays","Home Afrika Limited (for
a term of 99 years from
1/07/2005)","There is documentation (executed offer letter)
indicating that this title was to be charged to
I&M Bank for KShs. 45,000,000 but the charge
has not yet been created over the property."
"Unit F, 1st Floor, Morning Side Office park
on L.R. No. 2/704 together with 8 parking
bays","Home Afrika Limited (for
a term of 99 years from
1/07/2005)",N/A
L.R Number 29509 Kiambu (main Title),"Home Afrika Communi-
ties Limited (leasehold for
a term of 99 years from
1/10/2011)",N/A
"Units HC01, CC01, F01,F02, F03, F04, F05,
F06, F07 and F08 all situated on L.R. No.
29059 Kiambu","Home Afrika Communities
Limited (for a term of 95
years from 1/10/2011)","Charge dated 9th September 2012 over all
these units in favor of Equity Bank Limited for
KShs. 100,000,000/="
