Category,Number of Shares,Number of Shareholders,%
"Less than 100,000",0,0,0.0%
"100,000 – 1,000,000","986,660",2,0.2%
"More than 1,000,000","404,268,660",111,99.8%
Total,"405,255,320",113,100.0%
