Company,Column
2016,2015
Shs,Shs
"(530,565)","(124,033)"
"(293,759)","(406,532)"
"(824,324)","(530,565)"
(Credit),
to profit or,At end
loss,of year
Shs,Shs
"(63,794)","(146,531)"
"(229,965)","(677,793)"
"(293,759)","(824,324)"
