PROJECT NAME,LOCATION,STATUS
Morning Side Office Park,Ngong Road,Completed
Sidai,Kajiado,Completed
Entim Breeze,Kajiado,Completed
Tulivu 1,Naivasha,Completed
Tulivu 2,Naivasha,Completed
Migaa Golf Estate,Kiambu,Ongoing Sales
Lake View,Kisumu,Ongoing Sales
Kerobi Plains,Kajiado,Ongoing Sales
Batian,Nanyuki,Ongoing Sales
Matta Plains,Matuu,Ongoing Sales
