PROJECT NAME,LOCATION,STATUS
Morningside Office Park,Ngong Road,Completed
Migaa Golf Estate,Kiambu,Ongoing
Lake View Heights,Kisumu,Ongoing Sales
Lango,Kwale / Tiwi,Complete
Sidai,Isinya,Completed
Kerobi Plains,Isinya,Ongoing Sales
Entim Breeze,Ngong,Complete
