8:30 – 9:30am,Registration
9:30 – 9:35am,Opening Prayers
9:35 – 9:45am,Introductions and Welcome
9.45 – 9.50am,To read the Notice Convening the Meeting
9:50 – 10.00am,"To adopt of the Minutes of the previous meeting held on 28th July, 2012"
10:00 – 10:15am,To receive and adopt the Chairman’s Report
10:15 – 10:45am,"To receive and consider and if found fit to approve the audited accounts for the year ended 31st
December 2012."
10.45 – 11.00am,"To confirm that the auditors, Messrs. PKF, Kenya, shall continue in office and to authorize the
Directors to fix their remuneration in accordance with Section 159(2) of the Companies Act (Cap.
486)."
11.00 – 11.30am,"To consider and if deemed fit, pass the following as Special Resolutions:"
,"1. THAT the amendment of the Memorandum of Association of the Company by adding a new
clause 3(kk)A in the following terms be and is hereby approved and ratified:-"
,"“To lend and advance money or give credit or guarantee or otherwise support or secure, either
with or without the Company receiving any consideration or advantage and whether by personal
covenant or by the issue of debentures, debenture stock perpetual or otherwise or by mortgaging or
charging all or part of the undertaking property assets rights and revenues present and future and
uncalled capital of the Company or by both such methods or by any other means whatsoever, the
liabilities and obligations of and the payment of any moneys whatsoever (including but not limited
to principal, interest and other liabilities of any borrowings or acceptance credits and capital,
premiums, dividends, costs and expenses on any stocks, shares or securities) by any person, firm or
company including but not limited to any company which is for the time being the holding company
or a subsidiary or subsidiary undertaking (as defined by section 154 of the Companies act) of
the Company or of the Company’s holding company and that the giving and creation of any such
guarantee, support or security is hereby constituted as one of the main objects of the Company”."
,"2. THAT the amendment of the Articles of Association of the Company by adding a new Article
106A in the following terms be and is hereby approved and ratified:-"
,"“The Directors may exercise all the powers of the Company to guarantee and become sureties for
the liabilities, the performance of contracts and the repayment of monies by any person, firm or
company and to mortgage or charge its undertaking, property, assets, rights and revenues and
uncalled capital or any part thereof and to issue and create debentures, debenture stock, mortgages,
charges and other securities as security for any such guarantee or surety or any debt, liability or
obligation of any third party.”"
,"3. That the Articles of Association be amended by deleting Clause 91 (a) and replacing the same
with the following new Article: -"
,"“91. (a) Unless and until otherwise from time to time determined by a special resolution of the
Company, the number of Directors (excluding alternates) shall not be less than seven (7) nor more
than eleven (11) in number.”"
12.00 – 12.25 pm,To transact any other business of the Company whose due notice has been given.
12.25 – 12.30 pm,Closing Prayers
