"Policy Num-
ber",Insurer,Insured,Subject,Premium,Renewal
JP12CP0005,"Heritage Insurance
Company","Suburban
Limited","All risks policy - Offices at L.R.
No.2/704 Ngong Road Morn-
ingside office park 5th Floor
penthouse 1","Kshs. 6,753/=","Policy valid until
28/02/2013"
JP09CP0009,"Heritage Insurance
company","Home Afrika
Limited","All risk policy covering –Public
Liability and work Injury Bene-
fits,","Kshs. 391,749/=","Policy valid until
04/03/2013"
070044705,Chartis Insurance,"Home Afrika
Communities
Limited","Combined policy – general
liability, Buildings, Office con-
tents, Burglary","Kshs. 178,126/=
(total premium)","Policy valid until
31st July 2013"
JP11A00001,Heritage Insurance,"Suburban
Limited/
Morningside
Office Park
Limited/I&M
Bank Limited","Fire Material Damage – L.R.
No. 2/704 Morningside Office
Park, Ngong Road, Nairobi","Kshs.
1,270,171/=","Policy valid until
01/01/2013"
