NO.,NAME,"SALARY
Shs.","MEETING
ATTENDANCE FEE
Shs.","Total
Shs."
,Mike Robert Karanja - Chairperson,-,"1,265,000",
2.,Robert Muchoki,-,"950,000","950,000"
,Stephen Gichohi,-,"910,000",
4.,Linus Gitahi,-,"950,000","950,000"
,Anne Muchoki,-,"900,000",
6.,Michael Matimu,-,"1,000,000","1,000,000"
,Eng Mbugua Kamau,-,"1,025,000",
8.,Dan Awendo,-,"75,000","75,000"
,TOTAL,,"7,000,000",
