Column,Condensed Consolidated Statement Of Cash Flows for the 6 month period ended 30 June,Column,Column
,2017,,
,,30 Jun 2017,31 Dec 2016
Cash generated from operations,,"46,019","100,791"
Interest Paid,,"(93,860)","(115,545)"
Tax Paid,,"(2,661)",-
Net Cash used in Operating Activities,,"(50,502)","(14,754)"
Net Cash flow from Investing Activities,,(306),(45)
Net Cash flow from Financing activities,,"56,236","(21,706)"
Net Cash Increase/ (Decrease) in Cash and Cash equivalent,,"5,428","(36,505)"
Cash as cash equivalents at the beginning of the period/year,,"7,986","44,491"
Cash and Cash equivalents at the end of the period/year,,"13,414","7,986"
