Condensed Consolidated Statement Of CHanges in Equity for the 6 Months Period Ended 30 June,Column,Column,Column,Column,Column,Column,Column,Column
,"Ordinary
Share
capital","Share
premium","Retained
earnings",,Total,"Minority
interest",,"Total
equity"
,Shs ‘000’,Shs ‘000’,Shs ‘000’,,Shs ‘000’,Shs ‘000’,,Shs ‘000’
,"405,255","68,842","(888,682)",,"(324,584)","11,498",,"(313,086)"
,-,-,"(90,505)",,"(90,505)","(21,098)",,"(111,603)"
,"405,255","68,842","(979,188)",,"(415,089)","(9,600)",,"(424,689)"
,"405,255","68,842","(1,364,757)",,"(890,660)","(161,710)",,"(1,052,370)"
,-,-,"(76,788)",,"(76,788)","(15,358)",,"(92,145)"
,"405,255","68,842","(1,441,545)",,"(967,448)","(177,068)",,"(1,144,515)"
Condensed Statement Of Cash Flows For The 6 Months Period Ended 30 June,,,,,,,,
,,,,"As at 30 Jun
2019
Shs ‘000’",,,"As at 30 Jun
2018
Shs ‘000’",
,,,,"15,056",,,"51,601",
,,,,"(18,390)",,,"(79,003)",
,,,,(449),,,"(3,312)",
,,,,"(3,783)",,,"(30,713)",
,,,,(238),,,"(3,972)",
,,,,-,,,"1,676",
,,,,"(4,021)",,,"(8,050)",
,,,,"9,338",,,"19,640",
,,,,"5,317",,,"11,591",
