"405,255,320
68,842,038
(84,332,213)","204,000
456,718,358
(140,077,959)","100,000
354,470,857
(3,900,627)"
"389,765,145","316,844,399","350,670,230"
"(20,426,174)","(93,513,779)","4,863,500"
"369,338,971","223,330,620","355,533,730"
"150,000,000
50,748,500
39,864,777","150,000,000
-
36,964,286","150,000,000
-
159,162,000"
"240,613,277","186,964,286","309,162,000"
"609,952,248","410,294,906","664,695,730"
"895,744,891
236,503
74,284,247
-
2,000
12,458,034","770,256,338
472,770
74,284,247
-
-
86,185,796","57,414,083
-
74,284,247
-
-
1,304,679"
"982,725,675","931,199,151","133,003,009"
"1,271,606,432
114,326,433
153,078,889
-","1,332,691,238
50,797,669
63,589,864
9,862,431","632,289,000
69,041,788
154,210,003
-"
"1,539,011,754","1,456,941,202","855,540,791"
"440,659
1,748,715,788
157,247,262
5,381,472","440,659
1,456,021,170
521,383,618
-","440,659
154,085,354
159,162,000
10,160,057"
"1,911,785,181","1,977,845,447","323,848,070"
"(372,773,427)","(520,904,245)","531,692,721"
"609,952,248","410,294,906","664,695,730"
