o. Director,"Number of
shares held","Independent /
Non- Independent"
Peter Mungai,None,Independent
Luke Kinoti,Through proxy,Non -Independent
Antony Mbandi,None,Independent
Mbugua Gecaga,Through proxy,Non -Independent
Frida Owinga,None,Independent
Bertha Mvati,None,Independent
Catherine Wahome,None,Independent
Jayne Nyokabi,None,Independent
