NO.,NAME,"SALARY
Shs.","MEETING
ATTENDANCE FEE
Shs.","Total
Shs."
,Boniface Kamau - Chairperson,-,"300,000-",
2.,Susan Kasinga,-,-,-
,Geoffrey Kamau,-,"150,000",
4.,Jack Waihenya,-,"150,000","150,000"
,Barth Ragalo,-,"75,000",
6.,Connie Gikonyo,-,-,-
,Mbugua Gecaga,-,"225,000",
8.,Winnie Ngumi,-,"150,000","150,000"
,TOTAL,,"1,050,000",
