Condensed Consolidated Statement Of Cash Flows For the 6 Months period ended 30 June,Column,Column,Column,Column,Column
,Condensed Consolidated Statement Of Cash Flows For the 6 Months period ended 30 June,,,,
,,,2020,,2019
,,,Shs ‘000’,,Shs ‘000’
Cash generated from operations,,"164,960",,"38,508",
Interest Paid,,"(129,997)",,"(18,390)",
Tax Paid,,"(1,121)",,"(23,901)",
Net Cash Generated from Operating Activities,,"33,841",,"(3,783)",
Net Cash flow from Investing Activities,,"(5,285)",,(238),
Net Cashflow from Financing activities,,"(34,579)",,-,
Net Cash Increase/ (Decrease) in Cash and Cash equivalent,,"(6,023)",,"(4,021)",
Cash as cash equivalent at the beginning of the year,,"10,988",,"9,338",
Cash and Cash equivalents at the end of the year,,"4,965",,"5,317",
