Home Afrika Limited Board of Directors,Column
"Lee Karuri
Age: 49
Chairman
(Non-Executive, Non-
Independent)","Mr. Lee Karuri has been an architect for over 20 years. He obtained his Bachelor of Architec-
ture from the University of Nairobi in 1989, and thereafter registered as an Architect by the
Board of Registration of Architects and Quantity Surveyors in 1993.
He has previously served as Chairman of the Kenya Private Sector Alliance (KEPSA), honored
by the state with the Order of the Grand Worrier (OGW) in 2004 for national services.
He has previously served as Chairman of the Kenya Private Sector Alliance (KEPSA), honored
by the state with the Order of the Grand Worrier (OGW) in 2004 for national services."
"Dr. Mbira Gikonyo
Age: 50
Vice Chairman
(Non-Executive, Non-
Independent)","Dr. Mbira Gikonyo is the Vice Chairman of HAL and is also a consultant specialist medical
practitioner specializing in Ear Nose and Throat (ENT) medicine. In addition to Head and
Neck Surgery. He is also the founder and Director of Danica Hearing Centre, a state of the art
hearing centre specializing in neuro-otology.
Dr. Mbira served as a research officer in KEMRI in 1993, HASS Group in South Africa as their
Chief Medical Director, Magnatone Inc, Phonak AG, Switzerland and Fercom in Denmark."
"Eng. Mbugua Kamau
Age:51
Director
(Non-Executive,
Independent)","Eng. Mbugua Kamau is the Treasurer at Home Afrika Ltd and he brings to the Board skills in
Strategic Management, Project Management and Business development.
Mr Mbugua holds a Bachelor of Science Degree in Civil Engineering, and an MBA from East-
ern and Southern Africa Management Institute. He has previously served as the Managing
Director of Transfleet (EPZ) Ltd, Business Development Manager of Mugoya Group, worked
for Sir Alex Gibb and Partners as well as Steel Structures Limited."
"Dan Awendo
Age:41
Director
(Non-Executive,
Independent)","Mr. Dan Awendo is the Chief Executive Officer of InvesteQ CAPITAL Limited. He brings his
extensive experience in Finance to the board and he sits on the Finance & Admin Committee.
Mr. Awendo is a Certified Public Accountant Finalist-C.P.A (K). He holds a Diploma from the
institute of Data Processing Management (I.D.P.M) and has previously held position of Senior
Consultant in Dominion Consultants Group and Group Accountant and General Manager of
Loita Holdings Corporation Group."
