(D). CONDENSED CONSOLIDATED STATEMENT OF CASH FLOWS FOR THE 6 MONTHS PERIOD ENDED 30 JUNE 2018,Column,Column
,As at 30 June,As at 31 Dec
,2018,2017
,Shs ‘000’,Shs ‘000’
Cash generated from Opertations,"51,601","81,046"
Interest Paid,"(79,003)","(40,757)"
Tax Paid,"(3,312)","(6,755)"
Net Cash used in Operating Activities,"(30,713)","33,534"
Net Cash flow from Investing Activities,"(3,972)","(26,353)"
Net Cash flow from Financing Activities,"1,676","(48,232)"
Net Cash Increase / ( Decrease) in Cash and Cash equivalent,"(8,050)","11,654"
Cash and cash equivalents at the beginning of the period/year,"19,640","7,986"
Cash and Cash equivalents at the end of the period / Year,"11,591","19,640"
