Subject,Definition
Admission,The admission of the Shares to GEMS becoming effective in accordance with the NSE Rules
Articles,The Articles of Association of Home Afrika Limited
Board,The Board of Directors of the Company;
Bps,"Represents movement in interest rates whereby 1% change = 100 basis points, and 0.01% = 1 basis point"
CAGR,Compounded Annual Growth Rate
Capital Markets Legislation,"Means (a) the Capital Markets Act, Chapter 485A of the Laws of Kenya and all subsidiary legislation and rules and guidelines pro-
mulgated thereunder (b) the rules of the NSE (c) Companies Act and (d) any law applicable to capital markets in Kenya"
CDS,"The Central Depository System, a computer system operated by CDSC in accordance with the Central Depositories Act, 2000 that
facilitates holding of securities in electronic accounts thereby facilitating faster and easier processing of transactions at the NSE"
CDS Account,"A securities account opened with CDSC for the purpose of recording the deposit of and dealings in immobilized or dematerialized
securities"
CDSC,The Central Depository and Settlement Corporation Limited a company incorporated in Kenya
CMA,"The Capital Markets Authority in Kenya, a statutory body incorporated under the Capital Markets Act and includes anybody replac-
ing it or any of its functions"
Company or Issuer,Home Afrika Limited
Companies Act,The Companies Act (Chapter 486 of the Laws of Kenya)
Directors or the Board,Directors of the Company whose names appear on page 10 of this Listing Statement
DPS,Dividend per Share
EPS,Earnings per Share
ETF,Exchange Traded Fund
EPZ,Export Processing Zone
Existing Shares,The Issued and fully paid Ordinary Shares of the Company as at the date of this Listing
Executive Director,A member of the Board of Directors who is an employee of the Company
GDP,Gross Domestic Product
GEMS,Growth Enterprise Market Segment
IAS or IFRS,International Accounting Standards (also referred to as International Financial Reporting Standards)
ICT,Information and Communication Technology
Issuer,the Company
"KSHS, Kshs or KES",Kenya Shillings or the currency of the Republic of Kenya
Listing,Admission of the Shares to the GEMS
Home Afrika or HAL,the Issuer
NACHU,National Cooperative Housing Union
NAV,Net Asset Value
NSE,The Nairobi Securities Exchange
NGO,Non Governmental Organization
NLC,National Land Commission
Non-Executive Director,A member of the Board of Directors of the Company who is not an employee
Listing Price,KES 12 per share
PE,Price-Earnings Ratio
Par Value,"Nominal value of the Company’s shares, which for the time being is KES 1 per share"
RBA,Retirements Benefits Authority
Registrar,"Co-operative Bank Limited – Share Registrar Services, the share registrar appointed in connection with the Listing whose name and
address appears on page 10 (Corporate Information) of this Listing Statement"
SACCO,Savings and Credit Cooperative Society
Shares,Ordinary shares of KES 1/- each in the issued share capital of the Company
