home afriKa Board & Committee memBers,Column
home afriKa Board,
NAME,POSITION
Lee Karuri,Chairman
Dr Mbira Gikonyo,Vice-Chairman
Eng Mbugua Kamau,Treasurer
Lucie Maina,Director
Nyagah Kithinjih,Director
Mbugua Gecaga,Director
Gilbert Kibe,Director
Dan Awendo,Director
Ken Wathome,Director
Jane Adam,Director
home afriKa Communities Board,
NAME,POSITION
Eng Mbugua Kamau,Chairman
Robert Muchoki,Managing Director
Dr. Mbira Gikonyo,Director
Steve Gichohi,Director
Mike Karanja,Director
Lucie Maina,Director
Ann Kirima,Director
Michael Matimu,Director
moru ridge limited(suBsidiary haCl),
NAME,POSITION
Eng Mbugua Kamau,Chairman
Robert Muchoki,Managing Director
Dr. Mbira Gikonyo,Director
Steve Gichohi,Director
Mike Karanja,Director
Lucie Maina,Director
Ann Kirima,Director
Michael Matimu,Director
