Column,Director,Column,Capacity,Column,Address,Column,Nationality
Sureshkumar H Patel,,"Chairman and Independent
Director",,"P.O Box 207 - 00600
Nairobi",,Kenyan,
Sheth Kumar Harshad,,"Independent Non-executive
Director",,"P.O Box 26105 -
00100 Nairobi",,Kenyan,
Muciri Kiambo,,"Independent Non-executive
Director",,"P.O Box 254 – 00200
Nairobi",,Kenyan,
