Column,Director,Column,Capacity,Column,Nationality
Sureshkumar H Patel,,"Chairman and Independent
Director",,Kenyan,
Sheth Kumar Harshad,,"Independent Non-executive
Director",,Kenyan,
Muciri Kiambo,,"Independent Non-executive
Director",,Kenyan,
Alice Wanjiru Mutitu,,"Independent Non-executive
Director",,Kenyan,
Bharat Singh,,Executive Director,,Indian,
Nirmla Devi,,Executive Director,,Indian,
Sonvir Singh,,Managing Director,,Kenyan,
