Transaction,Listing by Introduction
Issuer,Shri Krishana Overseas PLC
"Authorised and Issues Share
Capital","50,500,000 ordinary shares of KES. 0.20 each comprising
a total authorised share capital of KES. 10,100,000."
Status,"Upon Listing, the shares shall be freely transferable
Ordinary Shares ranking pari passu with each other."
Form,"Ordinary Shares will be fully dematerialized and uploaded
into the CDSC before trading."
Compliance,"The Listing is subject to the requirements of the Articles,
the Companies Act, the Capital Markets Act, the Nairobi
Securities Exchange Listing Manual and the Central
Depositories Act, 2000."
"Listing/ Introduction Price Per
Share",KES 5.90 per share
Transaction Advisor,Synesis Capital Limited
Market Segment,Small and Medium Enterprises (SME) Market Segment
Expected Listing Date,TBD
Governing Law,Kenyan Law
