Stakeholder Group,Expectation,How do we engage with them?
Shareholders,"Superior sustainable
value with consistent
appraisal on strategy","• Annual and Extraordinary General Meetings
• GCEO Presentations
• Q&A uploaded on website.
• Annual & Half year results published and
uploaded on the website.
• Standing invitation to shareholders to meet and
discuss any matters of concern.
• Regular Company updates via press releases
and on company website
• Engagement through mainstream and social
media"
"Government
and Regulators
(CMA, NSE,
KRA, NEMA)","Company meets laid
out policies with an
increased emphasis
on Environmental,
Social and Governance
policies","• Industry forums.
• Individual engagement on need basis
• Formal statutory reporting."
"Customers
• Investors
• Investee","Capital solution
supported by a robust
operating framework
and a platform to
leverage on.","Investors
• Annual and Half Year results announcements
• Annual GCEO Presentation
• Engagement through mainstream and social
media"
,"Solution provider for
uplift in brand equity,
preservation of value
and growth.","Investee Businesses
• Quarterly strategy engagement forums
• Annual Group and SBU Board retreat
• Group wide newsletter
• Company updates/ milestones
• Customer satisfaction surveys"
Employees,"An environment
they can thrive in,
be valued as they
add value. A safe
and healthy working
environment with
training opportunities
and latitude to make
decisions.","• Staff meetings
• Quarterly newsletter
• Group CEO communication to staff on topical
issues
• Health awareness talks with 2021 focus been
mental health.
• Annual team building retreats.
• Additional available public communication
• Performance management communication"
