Key Skills,S. Kariuki,K. Pallan,W. Adeosun,A. Mutahi,W. Muchemi,N. Njiinu
Years served on TC Board,7,7,7,7,7,8
Age,Below 70,Below 70,70 /above,Below 70,70 /above,Below 70
Gender,M,M,M,F,M,M
Corporate Governance,,,,,,
Business Management,,,,,,
Financial skills,,,,,,
Public Affairs,,,,,,
Strategy,,,,,,
Risk management,,,,,,
IT/Technology/AI,,,,,,
Commercial Skills,,,,,,
Legal,,,,,,
Audit,,,,,,
Investment,,,,,,
Human Resources,,,,,,
Manufacturing,,,,,,
Engineering,,,,,,
