Member,Attendance
"Ms. C. Musyoka
Non-executive Director",7/7
"Mr. N. Kirira
Non-executive Director",6/7
"Mr. N. Kiuna
Non-executive Director",6/7
"Ms. V. Ndunge
Company Secretary",7/7
