"Consolidated
2015
KShs ‘000
-
-",Column,"Company
2015
KShs ‘000
460,232
1,950,272"
-,-,"2,410,504"
"-
-","-
-","49,853
621,278"
-,-,"671,131"
"-
-","-
-","78,720
449,536"
-,-,"528,256"
"-
-","-
-","122,167
738,725"
-,-,"860,892"
"-
-","-
-","52
-"
-,-,52
"-
-
-","-
-
-","973,103
712,087
2,823,270"
-,-,"4,508,460"
-,-,"8,979,295"
"-
-
-","-
-
-","9,382,670
712,087
(1,115,462)"
-,-,"8,979,295"
"-
-","-
-","2,396,214
6,583,081"
-,-,"8,979,295"
