STAKEHOLDER GROUP,EXPECTATIONS
Shareholders,"Superior sustainable value with consistent
appraisal on strategy implementation"
"Government & Regulators
Laws & Regulations
Positive Social Impact","Company meets laid out policies with an
increased emphasis on Environmental,
Social and Governance (ESG) policies"
"Customers
• Portfolio businesses
• Potential investee
businesses","Capital avilability supported by a robust
operating framework and a platform
to leverage on in addition to technical
support
Solution provider for uplift in brand
equity, preservation of value and growth"
Employees,"An environment they can thrive in, be
valued as they add value. A safe and
healthy working environment with
development opportunities and latitude
to make decisions"
"Strategic partners
• Suppliers
• Lenders","Long term relationship that is mutually
beneficial
Long term relationship with sustainable
profitable performance and the right
team to deliver strategy"
"Influencers
• Analysts
• Media
• Advocacy Groups
• Local community","Transparency of information disseminated
while providing leadership in shaping
industry information and initiatives to
benefit the sector as well as community"
