"Year of
origin","Amount
(KShs’000)","Year of
expiry"
2012,"27,685,173",2021
2013,"127,111,152",2022
2015,"221,827,387",2024
2016,"184,673,325",2025
2017,"97,599,008",2026
2018,"261,959,499",2027
,"920,855,544",
