COMMITTEES,Column,Column
Director,No. of meetings,Meetings Attended
NOMINATION & GOVERNANCE,,
Shaka Kariuki,4,4
Wanjuki Muchemi,4,4
Nganga Njiinu,4,4
HR & REMUNERATION,,
Wanjuki Muchemi,4,4
Shaka Kariuki,4,4
Nganga Njiinu,4,4
AUDIT RISK & COMPLIANCE,,
Anne Mutahi,4,4
Kamal Pallan,4,4
FINANCE & STRATEGY,,
Wale Adeosun,4,3
Shaka Kariuki,4,4
Anne Mutahi,4,3
Nganga Njiinu,4,4
