#,Asset,"Expected
proceeds. (KShs M)",Status
1,"Property and assets in
Mombasa, Kenya",250,"Currently seeking buyers of remaining
two parcels of land"
2,Properties in Uganda,789,No sale offer received
3,"Machinery in Nairobi, Kenya.",100,Seeking offers
4,"Property in Nairobi, Kenya",250,Discussions with potential buyers
,Total,"1,389",
