Subsidiary,Country of incorporation,"2011
%","201
%"
Cable Holdings Limited,Kenya,94.8,94.
East African Cables Limited,Kenya,64.3,63.
Avery (East Africa) Limited,Kenya,94.4,94.
Trans-Century Holdings (Pty) Limited,South Africa,100.0,100.
Tanelec Limited,Tanzania,70.0,70.
Crystal Limited,Tanzania,100.0,100.
Chai Bora,Tanzania,95.0,95.
TC Mauritius Holdings Limited,Mauritius,100.0,100.
Cable Holdings Mauritius Limited,Mauritius,100.0,100.
TC Engineering and Contracting Limited,Mauritius,100.0,100.
TC Railway Holdings Limited,Mauritius,100.0,100.
Cableries du Congo Sprl,"Democratic Republic of
Congo",100.0,100.
Safari Rail Co. Ltd,Mauritius,100.0,100.
