Member,Attendance
"Mr N. Kirira
Chairman",3/3
"Mr. J. Karago
Non-executive Director",3/3
"Mr. Z. G. Mbugua
Non-executive Director",3/3
"Dr. G. Kiuna
Executive Director",3/3
