Member,Attendance
"Kamal Pallan*
Non-executive Director",0/2
"Ephraim Kariithi Njogu**
Non-executive Director",0/2
"Mr. P. Kanyago ***
Chairman",2/2
"Mr. R. Kimotho***
Non-executive Director",2/2
"Mr. Dennis Awori****
Non-executive Director",0/2
