Column,"Nomination &
Governance","HR &
Remuneration","Audit, Risk &
Compliance","Finance &
Strategy"
No. of meetings,3,3,10,5
S. Kariuki,3,3,N/A,5
W. Muchemi,3,3,N/A,N/A
N.Njiinu,3,3,10,5
K. Njogu,N/A,N/A,10,N/A
K. Palan,N/A,N/A,10,N/A
W. Adeuson,N/A,N/A,N/A,5
A. Mutahi,N/A,N/A,N/A,3
