Domicile,"No. of
shares held","No of
Shareholders",% Shareholding
Local individuals,"1,894","197,260,827",52.57%
Local institutions,133,"27,947,435",7.45%
East African individuals,5,"34,200",0.01%
Foreign individuals,17,"390,400",0.10%
Foreign institutions,8,"149,569,904",39.86%
TOTAL,"2,057","375,202,766",100%
