Member,Attendance
"Mr. Z. G. Mbugua
Chairman",13/13
"Dr. G. Kiuna**
Executive Director",13/13
"Mr. P. T. Kanyago
Non-executive Director",11/13
"Mr. J. Karago***
Non-executive Director",7/13
"Mr. R. Kimotho
Non-executive Director",13/13
"Ms. C. Musyoka*****
Non-executive Director",9/13
"Mr. N. Kirira****
Non-executive Director",4/13
"Mr. N. Kiuna****
Non-executive Director",3/13
"Dennis Awori*
Non-executive Director",0/13
"Michael Waweru*
Non-executive Director",1/13
"Ms. V. Ndunge
Company Secretary",13/13
