Ordinary Business,For,Against,Withheld
"1. To receive and adopt, the Chairman’s statement, reports of the
Directors and Auditors and audited financial statements for
year ended 31 December 2021;",,,
"2. To approve the Directors’ remuneration and the Directors’
Remuneration Report for the year ended 31st December 2021;",,,
"3. To note that the Directors do not recommend payment of a
dividend for the year ended 31 December 2021;",,,
"4. To elect Directors:
4.1. In accordance with the Company’s Articles of Association,
Mr. Kamal Pallan retires by rotation and being eligible, offers
himself re-election.
4.2. Pursuant to paragraph 2.5.1 of the Code of Corporate
Governance Practices for Issuers of securities to the Public
2015, to approve the continuation in office as a director, Mr.
Wanjuki Muchemi who is above the age of seventy (70) years.
4.3. Pursuant to paragraph 2.5.1 of the Code of Corporate
Governance Practices for Issuers of securities to the Public 2015,
to note the retirement from office as a director of, Mr. Ephraim
Kariithi Njogu who is above the age of seventy (70) years.",,,
"5. Pursuant to the provisions of Section 769 of the Companies Act
2015, Mr. Kamal Pallan and Mrs. Anne Mutahi being Members of
the Board Audit, Risk & Compliance Committee be re-elected
to continue to serve as Members of the said Committee.",,,
"6. To approve the re-appointment of RSM Eastern Africa LLP
Kenya as the auditors in accordance with section 721 (2) of
the Companies’ Act, 2015 and to authori(cid:93)e the Directors to fix
their remuneration for the ensuing year in accordance with the
provisions of Section 724(1) of the Companies Act. 2015.",,,
7. To transact any other business of which due notice has been given.,,,
