Standard,Effective date
• Classification of Liabilities as Current or Non-current (Amendments IAS 1),1 January 2023
"• IFRS 17 Insurance Contracts and amendments to IFRS 17 Insurance
Contracts",1 January 2023
"• Disclosure of Accounting Policy (Amendments to IAS 1 and IFRS Practice
Statement 2).",1 January 2023
• Definition of Accounting Estimate (Amendments to IAS 8).,1 January 2023
"• Deferred Tax Related to Assets and Liabilities Arising from a Single
Transaction – (Amendments to IAS 12 Income Taxes)",1 January 2023
"• Sale or Contribution of Assets between an Investor and its Associate or
Company (Amendments to IFRS 10 and IAS 28).",Optional
• Lease Liability in a Sale and Leaseback,1 January 2024
• Non-current Liabilities with Covenants,1 January 2024
