Name,Date of Appointment,Retirement date
Shaka Kariuki*,28th March 2017,Not applicable
Wale Adeosun*,28th March 2017,Not applicable
Kamal Pallan*,28th March 2017,Not applicable
Ephraim Njogu,26th April 2017,To retire by rotation in 2019 AGM
Anne Mutahi,3rd July 2017,"To retire by rotation in 2018 AGM and being eligible
offers herself for re-election"
Wanjuki Muchemi,3rd August 2017,"To retire by rotation in 2018 AGM and being eligible
offers himself for re-election"
