Column,LEVEL 1,LEVEL 2,LEVEL 3
Fair value determined using:,"Unadjusted quoted
prices in an active market
for identical assets and
liabilities","Valuation models with
directly or indirectly market
observable inputs","Valuation models using
significant non-market
observable inputs"
Types of financial assets:,"Actively traded government
and other agency securities
Listed derivative
instruments
Listed equities","Corporate and other
government bonds and
loans
Over-the-counter (OTC)
derivatives","Highly structured
OTC derivatives with
unobservable parameters
Corporate bonds in illiquid
markets"
Types of financial liabilities:,"Listed derivative
instruments","Over-the-counter (OTC)
derivatives","Highly structured
OTC derivatives with
unobservable parameters"
