Name,Date of Appointment,Retirement date
Mr. Shaka Kariuki*,28 March 2017,To retire by rotation in 2020 AGM
Mr. Wale Adeosun*,28 March 2017,To retire by rotation in 2019 AGM
Mr. Kamal Pallan*,28 March 2017,To retire by rotation in 2019 AGM
Mr. Kariithi Njogu,28 March 2017,To retire by rotation in 2020 AGM
Mrs. Anne Mutahi,3 July 2017,To retire by rotation in 2021 AGM
Mr. Wanjuki Muchemi,3 August 2017,To retire by rotation in 2021 AGM
