New standard or amendments,"Effective for annual periods beginning
on or after"
(cid:116) Disclosure Initiative (Amendments to IAS 7),1 January 2017
"(cid:116) Recognition of Deferred Tax Assets for
Unrealised Losses (Amendments to IAS 12)",1 January 2017
(cid:116) IFRS 15 Revenue from Contracts with Customers,1 January 2018
(cid:116) IFRS 9 Financial Instruments (2014),1 January 2018
"(cid:116) Classification and Measurement of Share-based
(cid:116) Payment Transactions (Amendments to IFRS 2)",1 January 2018
"(cid:116) Applying IFRS 9 Financial Instruments with
IFRS 4 Insurance Contracts (Amendments to IFRS 4)",1 January 2018
"(cid:116) IFRIC interpretation 22 Foreign Currency
Transactions and Advance Considerations",1 January 2018
(cid:116) IFRS 16 Leases,1 January 2019
(cid:116) IFRS 17 Insurance Contracts,1 January 2021
"(cid:116) Sale or Contribution of Assets between an Investor
and its Associate or Joint Venture (Amendments to
IFRS 10 and IAS 28).",To be determined
