Measurement of investment in subsidiaries (applicable to the separate financial statements),Column
See notes 14(c) to the financial statements.,
Key audit matter,How the matter was addressed
"The Company’s investment in subsidiaries is
accounted for at fair value. The fair value of
investments in subsidiaries is determined by the
Company using valuation techniques such as
discounted cash flow method, enterprise value
to earnings before interest, tax and depreciation
multiple. These valuation techniques involves
the exercise of significant judgment, use of
assumptions and estimates by the directors.
Investment in subsidiaries is a key audit matter
because of the significance of the amounts
involved and the related estimation uncertainty,
particularly on the use of unobservable inputs in
the valuation.","Our procedures involved among others;
(cid:116)(cid:1)(cid:1)(cid:1)evaluating the methodologies, inputs and assumptions
used by the directors in determining fair values;
(cid:116)(cid:1)(cid:1)(cid:1)we used our in-house valuation specialists to assist us in
evaluating the valuation techniques, assumptions and
methodologies used by the Group and Company, in
particular, those relating to the cash flow projections,
growth rates, terminal values and discount rates used in
the valuation model;
(cid:116)(cid:1)(cid:1)(cid:1)we challenged assumptions used in the valuation
model based on our understanding of the company
and it’s subsidiaries; and
(cid:116)(cid:1) evaluating the appropriateness of the disclosures
made in the financial statements in respect of the fair
valuation in line with IFRS 13, Fair Value Measurements."
"Contingent liabilities in respect of claim and litigations (applicable to the consolidated financial
statements",
See notes 32 to the financial statements.,
Key audit matter,How the matter was addressed
"The Group is subject to claims, which could have
an impact on the Group’s results if the potential
exposures were to materialise.
In the normal course of business, potential
exposures may arise from general legal
proceedings, product liability and guarantees.
Whether there is a liability is inherently uncertain,
the amounts involved are potentially significant
and the application of accounting standards to
determine the amount, if any, to be provided as a
liability, is inherently subjective.
This is considered a key audit matter because
the directors apply significant judgment when
considering whether, and how much, to provide
for the potential exposure of each litigation or
make disclosures in the financial statements.","Our audit procedures in this area included, among others:
(cid:116)(cid:1)performing control assessment of the processes and
controls put in place by the directors over claims and
litigations;
(cid:116)(cid:1) holding discussions with the Group’s management
regarding the nature of all significant on-going claims
and legal cases, and to validate the latest status and
accounting and disclosure implications.
(cid:116)(cid:1)(cid:1)obtaining legal confirmations from the Company and
Group’s external counsel for significant litigation matters
to ensure completeness of provisioning and to evaluate
their assessment of exposures;
(cid:116)(cid:1)(cid:1)(cid:1)analysing correspondence with regulators for potential
exposures;
(cid:116)(cid:1)(cid:1)Assessing the adequacy of the Group’s disclosures in
relation to contingencies."
