Principal risk,Key controls and mitigating factors
"4. Legal risk
Our operations are in different
countries and jurisdictions
in East and South Africa ,
involves the risk that changes
in tax and other legislation
may occur from time to time.
The most sensitive areas
are regulation of foreign
investments, private property,
environmental protection,
regulatory policies, and
taxation. The governments
in various countries have
become more consistent
regarding the introduction of
new regulations and taxes,
demonstrating an awareness
of investment climate issues.
As a result of changes in
laws and regulations, certain
types of transactions and
technologies may become
unavailable to the Group or
the costs of compliance may
be increased.","• TC Plc has a successful track record of operating in East and
South Africa having developed well-structured compliance
team in corporate, tax, licensing, and other legal areas.
Corporate and operating management teams are responsible
for meeting the legal requirements in their operating activities.
Head office and on-site legal teams guarantee appropriate
controls over compliance issues.
• The Group’s policy is to ensure strict legal compliance in all
jurisdictions where Group companies operate. The Group’s
internal auditor and Compliance teams monitor current
legislation and proposed changes, and incorporate these
into the practice, involving leading external experts where
appropriate."
"5. Currency risk
The risk arises from
Company’s receipts from
goods sold and foreign
currency denominated
payables and receivables, as
well as the foreign currency
denominated cost of imported
raw materials goods and
consumables.","• Revenue is matched with US Dollar-denominated debt. Flexible
budgeting is used to monitor the effect of exchange rate
fluctuations on the Group’s financial results.
• The Group has determined critical exchange rates levels for
its operations and is monitoring risk against these levels.
During 2019, there was moderate volatility of the various local
currency exchange rates against foreign currencies. The Group
believes that material re-appreciation of these currencies is
unlikely"
"6. Interest rates risk
The Group is exposed to
the interest rate risk as the
significant part of the Group’s
debt portfolio is US Dollar-
denominated floating rate
borrowings.","• The Group monitors the interest rates on USD dominated
financing although market interest rates continued to increase
during the past 12 months, the magnitude of risk remains low due
to the comfortable leverage position of the Group and the low
share of interest costs in total expenditures.
• Management proactively negotiates interest rates with banks
for potential financing deals include assessment of their fixed
versus floating and stress testing against various market rates
dynamics"
