Ordinary Business,For,Against,Withheld
"To receive and adopt, the Chairman’s statement, reports of
the Directors and Auditors and audited financial statements
for year ended 31 December 2019",,,
"To note that the directors do not recommend payment of a
dividend for the year ended 31 December 2019",,,
"Mr. Shaka Kariuki who was appointed as a director of
the Company with effect from 28 March 2017, retires in
accordance with the Company’s Articles of Association and
being eligible, offers himself for re-election",,,
"Pursuant to paragraph 2.5.1 of the Code of Corporate
Governance Practices for Issuers of securities to the Public
2015, to approve the continuation in office as a director, Mr.
Ephraim Kariithi Njogu who is above the age of seventy (70)
years.",,,
"Pursuant to the provisions of Section 769 of the Companies
Act 2015, Mr. Ephraim Kariithi Njogu and Mr. Kamal Pallan
being Members of the Board Audit, Risk & Compliance
Committee be re-elected to continue to serve as Members of
the said Committee",,,
"Further, Mrs. Anne Mutahi being one of the directors be
appointed as an additional member of the Board Audit, Risk
& Compliance Committee.",,,
