DIRECTOR,DESIGNATION,Column,BOARD,N & G,HR&R,AR&C,F&S
S. Kariuki,Chairman - N&G,MEMBERSHIP,,,,,
,,ATTENDANCE,4/4,3/3,3/3,3/3,
W. Muchemi,Chairman - HR&R,MEMBERSHIP,,,,,
,,ATTENDANCE,4/4,3/3,3/3,,
N.Njiinu,Group CEO,MEMBERSHIP,,,,,
,,ATTENDANCE,4/4,3/3,3/3,3/3,3/3
K. Njogu,Chairman - AR&C,MEMBERSHIP,,,,,
,,ATTENDANCE,0/4,,,0/3,
K. Pallan,Member,MEMBERSHIP,,,,,
,,ATTENDANCE,4/4,,,3/3,
W. Adeosun,Chairman - F&S,MEMBERSHIP,,,,,
,,ATTENDANCE,4/4,,,,2/3
A. Mutahi,Member,MEMBERSHIP,,,,,
,,ATTENDANCE,2/4,,,3/3,3/3
"KEY:
N&G (Nomination and Governance) HR&R (Human Resources and Remuneration)
F&S (Finance and Strategy) AR&C (Audit, Risk and Compliance)",,,,,,,
