Domicile,"Number of
Shareholders","Number of
Shares Held","%
Shareholding"
Local individuals,"1,766","197,206,727",52.56%
Local institutions,133,"27,873,035",7.43%
East African individuals,3,"33,900",0.01%
Foreign individuals,21,"446,900",0.12%
Foreign institutions,10,"149,642,204",39.88%
Total,"1,933","375,202,766",100%
