Reportable segment,Operations
Power,"Manufacturing of aluminium and copper cables, manufacture of transformers
and switchgear"
Transport,Rail and road infrastructure and support services
Engineering,"Civil, mechanical engineering, cranage & erection and logistic services. Also
includes installation of weigh bridges, generators , bearings and sub-stations"
