Name,Retainer,Sitting allowance,Total,Paid,Payable
Company,KShs’000’,KShs’000’,KShs’000’,KShs’000’,KShs’000’
Shaka Kariuki,"2,571","1,586","4,157",-,"4,157"
Wale Adeosun,"1,486",857,"2,343",-,"2,343"
Kamal Pallan,"1,486",949,"2,435",-,"2,435"
Kariithi Njogu,"1,486","1,029","2,515",250,"2,265"
Ann Mutahi,"1,486",297,"1,783",-,"1,783"
Wanjuki Muchemi,"1,486",891,"2,377",-,"2,377"
Total,"10,001","5,609","15,610",250,"15,360"
