Principal risk,Key controls and mitigating factors
"1. Health and safety
The group has operated
potentially hazardous sites.
The operation of these site
exposes our employees to
variety of health and safety","• Risk assessment of individual workplaces and the use of safety
equipment for the protection of employees.
• Reinforcement on the need for individual responsibility for
personal safety and risk awareness and developed additional
security measures to ensure strict compliance with safety
requirements by employees.
• A proactive and well-functioning Group’s Health and Safety
Policy, which serves as the basis for the Occupational Health
and Safety Management System (OHSMS). The Group follows
industry’s global best practices in managing these risks and
ensuring safe working conditions for our employees. Our
OHSMS ensures compliance with international, national,
and local regulatory requirements and is based on modern
standards.
• The existence of strong safety procedures across all its operating
mines and implementation of additional measures to ensure
proper enforcement of these stricter safety standards. We
have intensified training programmes, with a focus on high-risk
functions, and implemented several other measures, including a
change in underground mining methods at certain sites.
• Continuous detailed review of the sources of risk and
further improving the shift risk assessment system, as well as
conducting an internal audit of health and safety."
"2. Environmental risk
Major pollution arising
from operations include air
and water pollution, land
contamination. Potential
impacts include fines and
penalties, statutory liability for
environmental redemption and
other financial consequences
that might be significant.","• The Group operates an environmental management system
that meets the local standards and is audited for compliance.
• Implementation of several initiatives to monitor and limit the
impact of the group operations on the environment, including
an assessment of the pollution generated and adopting
industry best practice for corporate and manufacturing level
policies and procedures.
• The Group has designed and is in the process of implementing
a climate risk management system to ensure the sustainable
development of the group compliance with legal requirements
and investors’ expectations."
"3. Liquidity risk
The inability to raise sufficient
funds to meet current
operating or ongoing
financial needs or to develop
new projects and growth.
Inadequate cash management
in terms of cash flow forecast,
available resources, and future
requirements.","• The Group’s Finance function is responsible for ensuring that
there are sufficient funds in place, including loan facilities,
cash flow from operating activities and cash on hand to meet
short-term business requirements. Long-term credit lines and
borrowings are used to finance new projects and organic growth.
• The Group risks ensures that significant undrawn committed
facilities are in place to cover any funding gaps
• Strict expenditure plans
• Negotiating with lenders - Moratoriums for favourable terms."
