Column,2023,2022
Name,No. of shares held,No. of shares held
Shaka Kariuki,Nil,Nil
Wale Adeosun,Nil,Nil
Kamal Pallan,Nil,Nil
Kariithi Njogu,"12,520,370","12,520,370"
Ann Mutahi,Nil,Nil
Wanjuki Muchemi,"3,912,671","3,912,671"
