Name,Position,Profile
Dr. Gachao Kiuna,"CEO and Managing
Director","Over 5 year’s advisory experience with McKinsey & Company in corporate
finance & strategy, operational excellence and organizational effectiveness.
Sector expertise in economic development and power infrastructure. Holds
a PhD in Biotechnology from the University of Cambridge and a first Class
Honors in Biochemistry from Imperial College London."
Yida Kemoli,Senior Investment Officer,"Sound experience in investment banking, private equity, acquisition
financing, project financing, securitizations and derivatives. Previous work
experience at JP Morgan (Investment Banking) and Actis (Private Equity).
Holds MEng in Chemical Engineering from Imperial College, London."
Allan Munyua,Investment Officer,"Over 9 years experience in financial analysis and project management;
Holds a Masters in Infrastructure Development, a Bachelor of Architecture
(First Class Honors)"
"Okomboli
Ong’ong’a",Investment Officer,"Holds an MBA (Stanford Business School) and BA Economics. Key skills
in strategic planning, investment analysis, mergers and acquisitions;
Previous work experience with Praxair, a large global industrial gases
manufacturer."
Wambua Kimeu,Financial Controller,"Over 6 years in external audit, accounting and finance; Holds a Bachelor of
Commerce (Finance), is a CPA (K), has passed Level 1 of the CFA program
& is currently pursuing an MBA"
"Diana Njoki
Njuguna",Investment Analyst,"Holds a Bachelor of Commerce in Finance (First Class Honors), a BSc
Honors in Applied Accounting (First Class Honors), is an ACCA affiliate
and a Level 2 candidate for the CFA designation"
Ng’ang’a Njiinu,Investment Analyst,"Holds an MBA in Finance and Investment Management, a BSc in
International Business, CFA Charter holder. Over 5 years in the financial
services industry."
Mumo Muthengi,Investment Analyst,"Holds an MBA (Harvard Business School) and Business Administration
degree. Previous work experience with Development Partners International
(Private Equity), Charterhouse Group (Private Equity) and Deutsche Bank
Securities (Investment Banking)"
Josephine Wangiri,"HR Coordinator/Executive
Assistant","Over 10 years experience in PA and HR work; Holds a degree in HR and an
Advanced Diploma in Business Administration."
Janet Wanjiku,Accountant,"2 years experience in Accounting, Finance and Internal Audit. Holds a
Bachelor of Commerce degree (Finance) from Catholic University of
Eastern Africa, and a CPA (K)."
Evelyne Wanjiku,Office Administrator,"Over 10 years experience in general office management, customer and
client relations. Holds a Bachelors degree in Business Administration.
Currently pursuing French at Alliance Françoise."
