PROJECTS BY SECTOR,2016,2017,2018,2019,2020,2021
Energy & Power,26,23,18,22,25,15
Transport,47,52,45,38,56,60
Real Estate,11,14,17,21,8,11
Water,0,6,6,6,5,8
Mining,0,0,4,4,0,0
Oil & Gas,2,1,1,1,0,0
Shipping and Ports,9,3,7,6,5,4
Social Development,0,0,0,0,1,1
Health Care,5,0,2,1,1,2
Education,0,1,0,0,0,0
Other,0,0,0,2,0,0
