Standard,Effective date
• IFRS 3 Definition of a Business,1 January 2020
• Amendments to references to the Conceptual Framework in IFRS Standards,1 January 2020
• Amendments to IAS 1 and IAS 8 Definition of Material,1 January 2020
"• Interest rate benchmark reform (Amendments to IFRS 9, IAS 39 and IFRS 7)",1 January 2020
• COVID-19-Related Rent Concessions (Amendments to IFRS 16),1 January 2021
• Onerous Contracts Cost of Fulfilling a Contract (Amendments to IAS 37),1 January 2022
• Annual Improvements to IFRS Standards 2018-2020,1 January 2022
"• Property, Plant and Equipment: Proceeds before Intended Use (Amendments
to IAS 16)",1 January 2022
• Reference to the Conceptual Framework (Amendments to IFRS 3),1 January 2022
• IFRS 17 Insurance Contracts,1 January 2022
• Classification of liabilities as current or non-current (Amendments to IAS 1),1 January 2023
"• Sale or Contribution of Assets between an Investor and its Associate or
Company (Amendments to IFRS 10 and IAS 28)",To be determined
