Stakeholder,Reason We Engage,Engagement Channels,Frequency
Investee,"• Enhancing long-term
value and financial
performance
• Promote clear and
open communication
• Foster trust and
collaboration
• Ensure adherence
to regulations and
standards.","• Quarterly strategy
engagement forums
• Annual Group and SBU Board
retreat
• Group wide newsletter.
• Company updates/ milestones
• Customer satisfaction survey",Daily
Employees,"• Job Security
• Equitable
compensation and
comprehensive
benefits
• Safe working
conditions
• Develop skillset","• Staff meetings
• Quarterly newsletter Group
• CEO communication to staff on
topical issues
• Health and wellness talks.
• Annual team building",Daily
Auditors,"• Facilitate in the
pooling of resources
• Gaining access to new
ideas, innovations, and
best practices
• Distributing risk
across multiple
entities
• Expanding market
reach and accessing
new customer
segments
• Reducing costs","• Product feedback
• Individual engagement on a
need basis.",Daily
Media,"• Amplify brand
message
• Build credibility and
trust
• Gaining insights into
industry trends
• Demonstrate
commitment to social
responsibility","• Media Briefings & Press
releases.
• Interviews on Key
announcements or topics.
• Industry conferences and
forums.
• Participation in analysts’
forums.",Daily
