Lender,Remediation status
Equity Bank Kenya Limited,"• The breach on the facility at company level has not
been remedied as at the date of approval of the financial
statements.
• The company has however submitted a proposal to the
Bank on the planned remediation measures which include
a private placement with subsequent rights issue that shall
be implemented in 2021."
SBM Bank Kenya Limited,"• Subsequent to year end AEA Limited signed a facility
agreement with SBM Bank Kenya Limited to restructure
the outstanding balance (KShs 300m) to a tenor of six (6)
years.
• Subsequent to year end, East African Cables PLC signed
facility agreements with SBM Bank Kenya Limited to
restructure the outstanding balances (KShs 310 million) to
tenors of ten (10) years."
Ecobank Kenya Limited,"• Subsequent to year end East African Cables PLC signed
a facility agreement with Ecobank Kenya Limited to
restructure the outstanding balances (KShs 188 million) to
a tenure of six (6) years."
