Name of subsidiary,Independent valuer,Date of last valuation
East African Cables PLC,Ms Proland Realtors Limited,31-Dec-18
AEA Limited,Lloyd Masika Limited,31-Dec-19
Civicon Kenya Limited,Lloyd Masika Limited,31-Dec-17
Civicon Limited (Uganda),MPG Associates Limited,31-Dec-17
Tanelec Limited – Zambia,Sherwood Greene,31-Dec-17
,T.P. Chibwe & Co,31-Dec-18
