Name of subsidiary,Independent valuer,Date of last valuation
East African Cables PLC,Ms Proland Realtors Limited,31-Dec-22
AEA Limited,Accurate Valuers Limited,31-Dec-22
Civicon Kenya Limited,Accurate Valuers Limited,31-May-21
Civicon Limited (Uganda),MPG Associates Limited,31-Dec-17
Tanelec Limited – Zambia,Sherwood Greene,31-Dec-17
,T.P. Chibwe & Co,31-Dec-18
