"Infrastructure
subsector",Target by 2025,"Annual cost
($billions)"
,"100% urban electrification
95% rural eletrification",35-50
,"100% access in urban area
100% access in rural area",56-66
,"Mobile universal coverage 50% of population within 25 km
of a fiber backbone
Fiber to home / premises internet penetration rate (10%)",4-7
,80% preservation; 20% development,35-47
Total,,130-170
