Stakeholder Group,Expectations,How do we engage with them?
Shareholders.,"• Superior sustainable value with
consistent appraisal on strategy.
• Responsible and sound board
governance framework and practices.
• Transparent reporting and disclosure.
• Sustainable financial performance.
• Embedding sustainable and best
practices into business practices.","• Annual and Extraordinary General
Meetings
• Group CEO & Company
Presentations.
• Q&A uploaded on website.
• Annual & Half year results published
and uploaded on the website.
• Standing invitation to shareholders
to meet and discuss any matters of
concern.
• Regular Company updates via press
releases and company website
• Engagement through mainstream
and social media"
"Government and
Regulators (CMA, NSE,
KRA, NEMA, KEBS)","• Compliance with all legal, tax and
regulatory requirements.
• Adhering to global and local
environmental, social governance
frameworks.
• Participating in industry surveys
and meeting with regulatory work
groups.
• Conducting responsible and ethical
business practices.","• Industry forums.
• Participation in PPPs and Tenders.
• Advocacy & Lobby.
• Statutory reporting."
"Customers
• Investor","• Capital solutions supported by a
robust operating framework and a
platform to leverage on.","• Annual and Half Year results
announcements
• Annual GCEO Presentation
• Engagement through mainstream
and social media"
• Investee,"• Solution provider for uplift in brand
equity, preservation of value and
growth.","• Quarterly strategy engagement
forums
• Annual Group and SBU Board retreat
• Group wide newsletter.
• Company updates/ milestones
• Customer satisfaction surveys"
