Column,LEVEL,FUNCTIONS,AREAS OF FOCUS
"nwod
poT
pu
mottoB",THE BOARD,"Governance
and oversight at
Corporate level","• Set the tone on risk management culture
• Maintain sound and effective risk
management and internal control system
• Define risk appetite and approve risk
management policies, guidelines, and
processes
• Responsible for principal risks
identification and ongoing monitoring
of the Group’s risk exposure to ensure
that material matters are managed in
alignment with strategic objectives"
,"THE BOARD
COMMITTEES","Assistance to
the Board by
reviewing and
monitoring of
key risks and
procedures","• On behalf of the Board, the Audit and
Risk Committee reviews the effectiveness
of the risk management process and
develops and oversees implementation of
risk management strategies.
• The Safety and Sustainability Committee
measures the impact of the Company’s
initiatives and helps the Audit and Risk
Committee manage sustainability risks"
,"INTERNAL
AUDIT
FUNCTION","Support the
Audit and Risk
Committee in
evaluating the
Group’s risk
profile and
internal controls
implemented by
management","• Define and monitor the risk management
process and mitigation tools and actions
• Plan and execute assurance activities to
ensure there are policies and procedures
in place to support the effectiveness of
the Group’s internal control system
• Prepare regular risk and internal control
reports for approval by the Audit and
Risk Committee and maintain the Risk
Assurance Map
• Perform risk analysis on growth projects,
detailing the specific conditions and risks
faced by the new project"
,"OPERATIONAL
MANAGERS","Operating risk
management
across Group
operations and
exploration","• Risk awareness embedded into day-to-
day operations
• Risks identification and assessment
performed across business operations on
the everyday basis
• Implementation of risk mitigation
programmers and operational monitoring
of internal controls"
